Country Code,year,gdp,inflation,govexp,literacy_rate
LKA,1970,2296470588.23529,5.866960048675537,2.4790929450708283,91.06365509033203
LSO,1970,68738625.2274954,13.399999618530272,8.480706677292332,79.92745780944824
LTU,1970,14620656984.757362,50.04060296385571,4.869863043660704,99.43315505981444
LVA,1970,9626594160.3268,40.27736047644892,5.269010365009307,99.77481536865233
MAR,1970,3956328426.04486,1.2791800498962402,5.34630499464093,59.71655139923096
MDA,1970,2575563921.5457025,86.79641028981929,6.571349579354991,97.99781036376952
MDG,1970,1111859569.76149,2.878649950027466,2.65572893933246,69.93421999613444
MDV,1970,1105258840.6221232,4.320000171661377,4.275670892313907,95.08935970730252
MEX,1970,35520000000.0,5.211730003356934,4.272679249445598,92.45526733398437
MHL,1970,86553181.96721311,2.6747368609528794,15.927850723266609,98.2650833129883
