Country Code,year,gdp
MNE,1961,1334069793.1033075
MNG,1961,3465886250.201753
MNP,1961,303573770.4918033
MOZ,1961,4843078702.612209
MRT,1961,159213140.004051
MUS,1961,4442108063.547891
MWI,1961,174576508.469831
MYS,1961,1901868548.28172
NAM,1961,4382454315.748688
NCL,1961,3748125491.0024767
NER,1961,485785234.940376
NGA,1961,4467200335.99328
NIC,1961,240524723.428571
NLD,1961,13493833739.9949
NOR,1961,5632460936.54576
NPL,1961,531959561.62226
NRU,1961,19670443.687113196
NZL,1961,5670064168.21773
OMN,1961,25401887924.71011
PAK,1961,4118647627.04746
PAN,1961,599026300.0
PER,1961,2899654840.37313
PHL,1961,8171186334.65347
PLW,1961,77196327.86885247
PNG,1961,244832035.032526
POL,1961,177593126796.138
PRI,1961,1865100000.0
PRK,1961,0.0
PRT,1961,3417516639.37596
PRY,1961,11707556498.72971
PSE,1961,4046395081.967213
PYF,1961,3073710104.1755886
QAT,1961,44723543642.99659
ROU,1961,66111939150.72315
RUS,1961,555404876959.0406
RWA,1961,122000016.0
SAU,1961,242660087889.15347
SDN,1961,1419333333.33333
SEN,1961,1058975265.60578
SGP,1961,764634783.744937
SLB,1961,463600517.84442437
SLE,1961,327834680.557103
SLV,1961,9420575952.52459
SMR,1961,586215240.5283029
SOM,1961,191659914.376034
SRB,1961,15777264381.744091
SSD,1961,1846636951.5730624
STP,1961,88261795.62605375
SUR,1961,107700000.0
SVK,1961,33225453599.60619
SVN,1961,17581941619.68211
SWE,1961,17212686614.5726
SWZ,1961,43025199.4960101
SXM,1961,148917483.28601506
SYC,1961,11592011.5920116
SYR,1961,945244972.067039
TCA,1961,265148700.0
TCD,1961,333975338.83416
TGO,1961,126396469.707058
THA,1961,3034043574.06071
TJK,1961,2193586410.8217816
TKM,1961,8129531507.156664
TLS,1961,413439435.4468182
TON,1961,173590624.42727166
TTO,1961,584961208.656595
TUN,1961,19241431340.168407
TUR,1961,7988888888.88889
TUV,1961,14202894.534310814
TZA,1961,14201475803.773626
UGA,1961,441524109.014675
UKR,1961,56364178796.38789
URY,1961,1547388781.43133
USA,1961,563300000000.0
UZB,1961,18391294439.22637
VCT,1961,13999883.3343055
VEN,1961,8189090909.09091
VGB,1961,0.0
VIR,1961,1247213114.7540984
VNM,1961,65250874015.8608
VUT,1961,288356888.9715
WSM,1961,281085415.68376553
YEM,1961,8666793960.990273
ZAF,1961,9225996313.47639
ZMB,1961,696285714.285714
ZWE,1961,1096646600.0
ABW,1962,1184220177.4478395
AFG,1962,546666677.777778
AGO,1962,26122388895.66278
ALB,1962,4477798007.687516
AND,1962,1386951657.1866064
ARE,1962,124174090039.84363
ARG,1962,24450604877.6081
ARM,1962,3411659248.013346
ASM,1962,197081967.21311477
ATG,1962,579804757.3891925
AUS,1962,19921603763.0194
AUT,1962,7756110210.11966
AZE,1962,14678747979.835789
BDI,1962,213500006.0
BEL,1962,13264015675.3193
BEN,1962,236434906.75427
BFA,1962,379567023.340308
BGD,1962,5081413339.78635
BGR,1962,22497560945.75715
BHR,1962,10617093027.184528
BHS,1962,212254901.960784
BIH,1962,5842961621.574733
BLR,1962,19914459083.324207
BLZ,1962,31856922.8615428
BMU,1962,94149985.9669446
BOL,1962,444665186.397102
BRA,1962,19231747851.5332
BRB,1962,2225541591.650501
BRN,1962,5851795996.03707
BTN,1962,623736760.1298324
BWA,1962,35643207.6265246
CAF,1962,124482748.937917
CAN,1962,42227447631.9159
CHE,1962,11879982758.5619
CHL,1962,5416272727.27273
CHN,1962,47209359005.6057
CIV,1962,645284344.684118
CMR,1962,694247725.537204
COD,1962,3779841428.57143
COG,1962,166521239.863281
COL,1962,4955543963.36869
COM,1962,425478060.2961595
CPV,1962,629550461.455645
CRI,1962,479180824.348506
CUB,1962,32633137648.291573
CUW,1962,529907840.4615807
CYM,1962,1260719930.9282136
CYP,1962,9671580116.92396
CZE,1962,75018948266.27742
DEU,1962,1787891308812.6345
DJI,1962,692268782.3177625
DMA,1962,233856842.568306
DNK,1962,155554999311.97568
DOM,1962,824100000.0
DZA,1962,2001428328.37091
ECU,1962,1518208221.23969
EGY,1962,94231664118.54344
ERI,1962,320581605.0869155
ESP,1962,16138545209.246
EST,1962,7974092666.317512
ETH,1962,18923746424.316265
FIN,1962,6340580854.39073
FJI,1962,122906434.957814
FRA,1962,75607529809.9288
FRO,1962,892835598.2792426
FSM,1962,152349057.37704918
GAB,1962,182796536.497306
GBR,1962,81247564156.8246
GEO,1962,4917117362.470762
GHA,1962,1382352941.17647
GIB,1962,0.0
GIN,1962,3402800061.850502
GMB,1962,645440637.0185436
GNB,1962,416237486.50807923
GNQ,1962,9122751.45318345
GRC,1962,5213047711.42704
GRD,1962,391375426.1202186
GRL,1962,1097504403.3783352
GTM,1962,1143600000.0
GUM,1962,1664213114.7540984
GUY,1962,194948375.430205
HKG,1962,1612346412.26475
HND,1962,387750000.0
HRV,1962,20816883755.912975
HTI,1962,281896800.0
HUN,1962,51664891729.89662
IDN,1962,285875264262.00415
IMN,1962,1775935307.4528196
IND,1962,42161481858.0819
IRL,1962,2260349684.08625
IRN,1962,4693566416.48346
IRQ,1962,1954634836.18034
ISL,1962,284916516.159537
ISR,1962,2510000000.0
ITA,1962,50383891898.9911
JAM,1962,777712445.751085
JOR,1962,11985653782.787558
JPN,1962,60723018683.7333
KAZ,1962,50478789556.274025
KEN,1962,868111400.014073
KGZ,1962,2197390287.0207634
KHM,1962,660000008.571429
KIR,1962,74729348.03210096
KNA,1962,12541562.1536487
KOR,1962,2814626210.10081
KWT,1962,46935229918.14313
LAO,1962,3722869365.194184
LBN,1962,14329210106.853313
LBR,1962,789917977.0491803
LBY,1962,25087460305.756077
LCA,1962,701726966.7936614
LIE,1962,2193283096.0771823
LKA,1962,1434156378.60082
LSO,1962,41859162.8167437
LTU,1962,14620656984.757362
LUX,1962,741509480.796284
LVA,1962,9626594160.326801
MAC,1962,11827844302.55251
MAF,1962,25390845.563466016
MAR,1962,2379606422.29029
MCO,1962,2809643426.9324136
MDA,1962,2575563921.5457025
MDG,1962,739286906.85904
MDV,1962,1105258840.6221232
MEX,1962,15200000000.0
MHL,1962,86553181.96721311
MKD,1962,3892711296.396571
MLI,1962,4795835502.108938
MLT,1962,4361712304.097336
MMR,1962,612517344.756215
MNE,1962,1334069793.1033075
MNG,1962,3465886250.201753
MNP,1962,303573770.4918033
MOZ,1962,4843078702.612209
MRT,1962,164271590.835712
MUS,1962,4442108063.547891
MWI,1962,183116337.673247
MYS,1962,2001502678.6881
NAM,1962,4382454315.748688
NCL,1962,3748125491.0024767
NER,1962,531736492.909178
