Country Code,year,inflation
UZB,1970,114.50776167658842
VCT,1970,6.800000190734863
VEN,1970,2.4915599822998047
VNM,1970,36.79999923706055
VUT,1970,1.5
WSM,1970,2.7424099445343018
YEM,1970,5.0
ZAF,1970,4.057909965515137
ZMB,1970,2.5999999046325684
ZWE,1970,2.089010000228882
VGB,1970,1.4666666666666666
XXK,1970,1.7043806738177754
LIE,1970,0.17649312808264367
MTQ,1970,
MSR,1970,1.848571428571429
NCL,1970,1.3638755889564538
NIU,1970,
SHN,1970,3.9588235294117644
TLS,1970,4.844117647058823
TCA,1970,2.9625
ABW,1971,2.446481477384214
AFG,1971,25.510000228881836
AGO,1971,5.78000020980835
ALB,1971,15.221139720479087
ARE,1971,21.984699249267578
ARG,1971,34.73249816894531
ARM,1971,310.3541192350558
