Country Code,year,govexp
TSS,2001,3.11486005783081
TTO,2001,3.06528997421265
TUN,2001,6.20184993743896
TUR,2001,2.63461995124817
TUV,2001,5.642505049705505
TZA,2001,3.4221517728722612
UGA,2001,2.5854131229992565
UKR,2001,4.52568006515503
UMC,2001,3.83357000350952
URY,2001,2.80096006393433
USA,2001,5.701594135978004
UZB,2001,5.77790403366089
VCT,2001,5.814232915639877
 RB,2001,4.090330020241114
VGB,2001,2.90476989746094
VIR,2001,
VNM,2001,4.654999769650975
VUT,2001,8.95114994049072
WLD,2001,4.02031993865967
WSM,2001,3.82628989219666
XKX,2001,
ZAF,2001,4.63617992401123
ZMB,2001,3.7912145228612992
ZWE,2001,9.083271551132198
ABW,2002,4.92364978790283
AFE,2002,4.394633477926252
AFG,2002,2.6923037171363844
AFW,2002,2.59414494037628
AGO,2002,3.1170866830008372
ALB,2002,3.11779999732971
AND,2002,1.65971004962921
ARB,2002,3.8948111454645793
ARE,2002,2.0256467103958142
ARG,2002,4.01734018325806
ARM,2002,2.13504004478455
ASM,2002,14.7170495986938
ATG,2002,3.39525008201599
AUS,2002,5.1725976326886345
AUT,2002,5.52213001251221
AZE,2002,3.15445995330811
BDI,2002,3.00493001937866
BEL,2002,5.67661085622064
BEN,2002,2.15949010848999
BFA,2002,3.5355524718761435
BGD,2002,2.01714992523193
BGR,2002,3.38608002662659
BHR,2002,2.681779980659485
BIH,2002,
BLR,2002,5.190407853377493
BLZ,2002,6.530758268692914
BMU,2002,2.321641927957535
BOL,2002,8.316376772793857
BRA,2002,3.75037002563477
BRB,2002,5.88062000274658
BRN,2002,3.7034059409742013
BTN,2002,6.095918602413603
BWA,2002,6.3450733290778265
CAF,2002,1.5195699930191
CAN,2002,4.99308013916016
CEB,2002,5.17923021316528
CHE,2002,5.16421985626221
CHI,2002,
CHL,2002,4.08121013641357
CHN,2002,2.4853317156070616
CIV,2002,2.81048011779785
CMR,2002,2.830434080213309
COL,2002,4.26812982559204
COM,2002,2.25841999053955
CPV,2002,7.87682008743286
CRI,2002,5.15044021606445
CSS,2002,4.45911991596222
CUB,2002,9.57116985321045
CUW,2002,6.500905922480993
CYM,2002,2.115682721138
CYP,2002,5.58166980743408
CZE,2002,3.95878005027771
DEU,2002,4.701914000511169
DJI,2002,8.44760036468506
DMA,2002,4.867326521873475
DNK,2002,8.2130298614502
DOM,2002,1.9140100479126
DZA,2002,6.453123982747396
EAP,2002,2.89222002029419
EAR,2002,3.40773010253906
EAS,2002,3.86491990089417
ECA,2002,3.15445995330811
ECS,2002,4.43893480300903
ECU,2002,3.8537078577539194
EMU,2002,5.25871992111206
ERI,2002,3.52390003204346
ESP,2002,4.13457012176514
EST,2002,5.43460988998413
ETH,2002,3.63245010375977
EUU,2002,5.17923021316528
FCS,2002,3.267714056101714
FIN,2002,6.01677989959717
FJI,2002,6.27586984634399
FRA,2002,4.839316673767873
FRO,2002,8.036677181720735
GAB,2002,3.0491166909535723
GBR,2002,4.6285400390625
GEO,2002,2.23501992225647
GHA,2002,4.704415333271027
GIB,2002,
GIN,2002,2.59386992454529
GNB,2002,2.491043339172999
GNQ,2002,2.18797993659973
GRC,2002,3.42430996894836
GRD,2002,3.7229249477386475
GRL,2002,11.730675458908074
GTM,2002,2.6140831763094132
GUM,2002,
GUY,2002,8.36553955078125
HIC,2002,4.89949011802674
HND,2002,4.8237898126244545
HPC,2002,2.59414494037628
HRV,2002,3.78326988220215
HTI,2002,1.3711642898046053
HUN,2002,5.17923021316528
IBD,2002,3.76681995391846
IBT,2002,3.30014991760254
IDA,2002,2.81048011779785
IDB,2002,4.051367120309308
IDN,2002,2.64568996429443
IDX,2002,2.77578997612
IMN,2002,
IND,2002,3.8450126271498837
INX,2002,
IRL,2002,4.10487985610962
IRQ,2002,3.8064679622650117
ISL,2002,7.29892015457153
ISR,2002,6.46506023406982
ITA,2002,4.43240976333618
JAM,2002,5.37522983551025
JOR,2002,4.038012353997482
JPN,2002,3.40898990631104
KAZ,2002,3.02970004081726
KEN,2002,6.17199993133545
KGZ,2002,4.44545984268188
KHM,2002,1.71121001243591
KIR,2002,10.069040743509929
KNA,2002,3.92051005363464
KWT,2002,6.551109790802
LAC,2002,3.88385510444642
LAO,2002,2.82522010803223
LBN,2002,2.55271005630493
LBR,2002,2.197291483481725
LBY,2002,2.26416993141174
LCA,2002,4.2322152593861455
LCN,2002,3.88385510444642
LDC,2002,2.59414494037628
LIC,2002,3.0466574894057374
LIE,2002,2.2454799811045336
LKA,2002,2.4790929450708283
LMC,2002,2.89222002029419
LMY,2002,3.20831990242004
LSO,2002,10.1004495620728
LTE,2002,4.09304499626159
LTU,2002,5.80007982254028
LUX,2002,3.8574892705486667
LVA,2002,5.60254001617432
MAF,2002,
MAR,2002,5.34630499464093
MCO,2002,1.231286845709148
MDA,2002,5.4979100227356
MDG,2002,2.23179006576538
MDV,2002,5.79186010360718
MEA,2002,4.51933732357892
MEX,2002,4.45495986938477
MHL,2002,8.20897960662842
MIC,2002,3.27149498462677
MKD,2002,3.30014991760254
MLI,2002,2.8962299823761
MLT,2002,4.14305019378662
MMR,2002,1.96425821500666
MNA,2002,4.42382968796624
MNE,2002,
MNG,2002,7.21078014373779
MNP,2002,
MOZ,2002,5.12108937650919
MRT,2002,2.27714991569519
MUS,2002,3.06089997291565
MWI,2002,3.892547615936824
MYS,2002,7.65792989730835
NAC,2002,4.99308013916016
NAM,2002,6.7423300743103
NCL,2002,
NER,2002,2.40134000778198
NGA,2002,1.3989874422550204
NIC,2002,2.39101004600525
NLD,2002,4.80590009689331
NOR,2002,7.43729019165039
NPL,2002,3.15283989906311
NRU,2002,5.764732095930311
NZL,2002,6.40699005126953
OED,2002,5.15733003616333
OMN,2002,4.32506990432739
OSS,2002,4.93773984909057
PAK,2002,2.352571912433791
PAN,2002,4.19163990020752
PER,2002,2.82056999206543
PHL,2002,2.89222002029419
PLW,2002,7.5219898223877
PNG,2002,3.2507299979527784
POL,2002,5.38735008239746
PRE,2002,2.59441995620728
PRI,2002,5.548230662065394
PRT,2002,5.25871992111206
PRY,2002,3.40773010253906
PSE,2002,5.106291234493258
PSS,2002,
PST,2002,5.16421985626221
PYF,2002,
QAT,2002,3.84656000137329
ROU,2002,3.5041298866272
RUS,2002,3.83502006530762
RWA,2002,3.6059851932525646
SAS,2002,2.61125477211816
SAU,2002,7.63688993453979
SDN,2002,1.16425001621246
SEN,2002,2.59441995620728
SGP,2002,3.87853002548218
SLB,2002,8.577741819269512
SLE,2002,3.54527997970581
SLV,2002,3.242840051651
SMR,2002,3.230164676904679
SOM,2002,0.6180270463228228
SRB,2002,4.010269145170848
SSA,2002,3.00493001937866
SSD,2002,1.2458063562711088
SSF,2002,3.00493001937866
SST,2002,4.90804982185364
STP,2002,2.72058010101318
SUR,2002,5.565956751505535
SVK,2002,4.24539995193481
SVN,2002,5.67286014556885
SWE,2002,6.92434978485107
SWZ,2002,4.44086980819702
SXM,2002,
SYC,2002,5.19332981109619
SYR,2002,5.26984977722168
TCA,2002,5.06913995742798
TCD,2002,2.3651324748992915
TEA,2002,2.89222002029419
TEC,2002,3.34311497211456
TGO,2002,3.48744988441467
THA,2002,3.86491990089417
TJK,2002,2.77578997612
TKM,2002,3.0849499702453604
TLA,2002,3.75037002563477
TLS,2002,7.227230035341703
TMN,2002,4.254747486114502
TON,2002,3.79500007629395
TSA,2002,2.61125477211816
TSS,2002,3.00493001937866
TTO,2002,3.54300999641418
TUN,2002,5.79006004333496
TUR,2002,2.72806000709534
TUV,2002,5.642505049705505
TZA,2002,3.4221517728722612
UGA,2002,2.5854131229992565
UKR,2002,5.24006986618042
UMC,2002,3.75037002563477
URY,2002,2.32220005989075
USA,2002,5.701594135978004
UZB,2002,5.77790403366089
VCT,2002,7.80195999145508
 RB,2002,4.090330020241114
VGB,2002,4.260085013177662
VIR,2002,
VNM,2002,4.654999769650975
VUT,2002,8.13197994232178
WLD,2002,3.87853002548218
WSM,2002,3.84138989448547
XKX,2002,
ZAF,2002,4.54569005966187
ZMB,2002,3.7912145228612992
ZWE,2002,9.083271551132198
ABW,2003,5.390460014343262
AFE,2003,4.394633477926252
AFG,2003,2.6923037171363844
AFW,2003,2.75125002861023
AGO,2003,3.1170866830008372
ALB,2003,3.13823008537292
AND,2003,2.7491344544622627
ARB,2003,3.8948111454645793
ARE,2003,2.0256467103958142
ARG,2003,3.53504991531372
ARM,2003,2.1450400352478
ASM,2003,14.7170495986938
ATG,2003,2.841239103904137
AUS,2003,5.1725976326886345
AUT,2003,5.36183023452759
AZE,2003,3.2861499786377
BDI,2003,4.611830746686017
BEL,2003,5.67661085622064
BEN,2003,2.28315997123718
BFA,2003,3.5355524718761435
BGD,2003,2.06939005851746
BGR,2003,3.99845004081726
BHR,2003,2.681779980659485
BIH,2003,
BLR,2003,5.190407853377493
BLZ,2003,5.24820995330811
BMU,2003,1.6662700176239
BOL,2003,8.316376772793857
BRA,2003,5.166201385584745
BRB,2003,6.24569988250732
BRN,2003,3.7034059409742013
BTN,2003,6.095918602413603
BWA,2003,6.3450733290778265
CAF,2003,1.53980004787445
CAN,2003,5.920394155714247
CEB,2003,5.05714988708496
CHE,2003,5.36935997009277
CHI,2003,
CHL,2003,3.96345996856689
CHN,2003,2.4853317156070616
CIV,2003,2.86437010765076
CMR,2003,2.82259011268616
COL,2003,4.32513999938965
COM,2003,2.76665872335434
CPV,2003,5.80948295091328
CRI,2003,5.13373994827271
CSS,2003,3.6967248916626
CUB,2003,9.9408597946167
CUW,2003,6.500905922480993
CYM,2003,2.115682721138
CYP,2003,6.6702299118042
CZE,2003,4.11728000640869
DEU,2003,4.701914000511169
DJI,2003,8.88984966278076
DMA,2003,4.867326521873475
DNK,2003,8.12193012237549
DOM,2003,1.84465003013611
DZA,2003,6.453123982747396
EAP,2003,3.3760655295281197
EAR,2003,3.57422995567322
EAS,2003,3.5566312562335614
ECA,2003,3.2861499786377
ECS,2003,4.80573987960815
ECU,2003,3.8537078577539194
EMU,2003,5.08566498756409
ERI,2003,3.481281518936158
ESP,2003,4.1734299659729
EST,2003,5.27309989929199
ETH,2003,4.025005531311035
EUU,2003,5.08566498756409
FCS,2003,3.267714056101714
FIN,2003,6.16743993759155
FJI,2003,5.163519703424894
FRA,2003,4.839316673767873
FRO,2003,8.036677181720735
GAB,2003,3.0491166909535723
GBR,2003,4.80573987960815
GEO,2003,2.06559991836548
GHA,2003,4.704415333271027
GIB,2003,
GIN,2003,2.37102007865906
GNB,2003,2.491043339172999
GNQ,2003,2.18797993659973
GRC,2003,3.42933988571167
GRD,2003,3.92673993110657
GRL,2003,11.730675458908074
GTM,2003,2.6140831763094132
GUM,2003,
GUY,2003,6.95590019226074
HIC,2003,5.0404200553894
HND,2003,4.8237898126244545
HPC,2003,3.1276159942150104
HRV,2003,3.83135008811951
HTI,2003,1.3711642898046053
HUN,2003,5.79115009307861
IBD,2003,3.83135008811951
IBT,2003,3.35442507266998
IDA,2003,3.187374848127365
IDB,2003,4.051367120309308
IDN,2003,3.21799993515015
IDX,2003,3.1766858100891113
IMN,2003,
IND,2003,3.61340999603271
INX,2003,
IRL,2003,4.20493984222412
IRQ,2003,3.8064679622650117
ISL,2003,7.24507999420166
ISR,2003,6.34549999237061
ITA,2003,4.54179000854492
JAM,2003,4.25684976577759
JOR,2003,4.038012353997482
JPN,2003,3.46662998199463
KAZ,2003,3.230060152385546
KEN,2003,6.49426984786987
KGZ,2003,4.47541999816895
KHM,2003,1.9019475976626086
KIR,2003,10.069040743509929
KNA,2003,3.79099011421204
KWT,2003,4.616534207996568
LAC,2003,3.53504991531372
LAO,2003,2.371378789777341
LBN,2003,2.206172611402429
LBR,2003,2.197291483481725
LBY,2003,2.26416993141174
LCA,2003,3.53449010848999
LCN,2003,3.53504991531372
LDC,2003,2.979115009307861
LIC,2003,3.0466574894057374
LIE,2003,2.46013998985291
LKA,2003,2.4790929450708283
LMC,2003,3.12451004981994
LMY,2003,3.30612003803254
LSO,2003,13.2195701599121
LTE,2003,4.20956993103027
LTU,2003,5.11418008804321
LUX,2003,3.8574892705486667
LVA,2003,5.05714988708496
MAF,2003,
MAR,2003,5.34630499464093
MCO,2003,1.231286845709148
MDA,2003,5.42489004135132
MDG,2003,2.61094999313354
MDV,2003,5.32406997680664
MEA,2003,4.51933732357892
MEX,2003,5.07257986068726
MHL,2003,11.8198003768921
MIC,2003,3.57422995567322
MKD,2003,4.294133345286052
MLI,2003,3.80559992790222
MLT,2003,4.622511085711028
MMR,2003,1.96425821500666
MNA,2003,4.42382968796624
MNE,2003,
MNG,2003,5.663232966473228
MNP,2003,
MOZ,2003,5.12108937650919
MRT,2003,2.36501002311707
MUS,2003,4.41583013534546
MWI,2003,3.21566009521484
MYS,2003,7.50288009643555
NAC,2003,6.016241359710693
NAM,2003,6.13713979721069
NCL,2003,
NER,2003,1.93705999851227
NGA,2003,1.3989874422550204
NIC,2003,2.42200994491577
NLD,2003,5.0404200553894
NOR,2003,7.41635990142822
NPL,2003,3.11435008049011
NRU,2003,5.764732095930311
NZL,2003,6.43753004074097
OED,2003,5.11418008804321
